label,processed_text
0,"['wa', 'feeling', 'discouraged', 'already', 'robbing', 'peter', 'pay', 'paul', 'get', 'cow', 'year', 'cant', 'afford', 'get', 'cow', 'way']"
0,"['wa', 'feeling', 'listless', 'need', 'new', 'thing', 'something', 'different']"
1,"['lost', 'special', 'mind', 'worry', 'still', 'sane', 'wanted', 'feel', 'felt', 'reading', 'book', 'know', 'many', 'time', 'wa', 'said', 'sam', 'wa', 'special', 'guarantee', 'wa', 'many', 'time', 'used', 'paragraph', 'tell', 'wa', 'special']"
2,"['let', 'go', 'sad', 'feeling', 'want', 'accepted', 'first', 'home', 'mine']"
1,"['boat', 'trip', 'denmark']"
3,"['stopped', 'feeling', 'cold', 'began', 'feeling', 'hot']"
1,"['need', 'feel', 'dough', 'make', 'sure', 'perfect']"
0,"['found', 'feeling', 'little', 'discouraged', 'morning']"
3,"['feel', 'selfish', 'spoiled']"
4,"['wa', 'stymied', 'little', 'bit', 'wrote', 'feeling', 'unsure', 'might', 'go', 'somewhere', 'story', 'unintended']"
1,"['bag', 'qaf', 'look', 'cryin', 'jacynthe', 'lookin', 'good', 'feelin', 'gorgeous', 'rupaul', 'skin', 'scissor', 'sister', 'valentine', 'sun', 'fed', 'kayle', 'daddy', 'gerling', 'awake', 'unkind', 'u']"
0,"['feel', 'know', 'basically', 'like', 'fake', 'realm', 'science', 'fiction']"
0,"['hate', 'living', 'dad', 'roof', 'give', 'excuse', 'asshole', 'providing', 'live', 'think', 'feel', 'need', 'make', 'feel', 'unwelcome', 'possible', 'ill', 'leave']"
5,"['keep', 'feeling', 'pleasantly', 'surprised', 'supportiveness', 'also', 'ease', 'new', 'situation']"
1,"['feeling', 'anymore', 'vigorous', 'sexual', 'activity', 'coming', 'yes', 'misspelt', 'cumming', 'day', 'part', 'begin', 'fall']"
1,"['feel', 'mom', 'graceful', 'warm', 'loving', 'smile', 'rob', 'time', 'nurture', 'heal']"
1,"['feel', 'talk', 'brother', 'law', 'extremely', 'popular', 'one', 'think', 'stiff']"
2,"['ate', 'could', 'feel', 'gentle', 'tingle', 'throughout', 'almost', 'wa', 'feeling', 'healing', 'taking', 'place', 'cellular', 'level']"
4,"['feel', 'like', 'pressured', 'young', 'beautiful', 'thin', 'depending', 'trend', 'girl', 'rejuvenated', 'butt', 'implant']"
4,"['began', 'several', 'time', 'week', 'feeling', 'tortured', 'hallucination', 'moving', 'people', 'figure', 'sound', 'vibration']"
5,"['nearly', 'finished', 'week', 'detox', 'feel', 'amazing']"
3,"['feel', 'selfish', 'read', 'back', 'former', 'post', 'never', 'asked', 'prayer', 'others', 'never', 'considered', 'may', 'others', 'deserve', 'prayer', 'answered']"
3,"['know', 'pain', 'parent', 'feel', 'enraged', 'child', 'becomes', 'violent']"
0,"['roller', 'coaster', 'emotion', 'supposed', 'feeling', 'something', 'unpleasant', 'wa', 'coming']"
2,"['suppose', 'truth', 'need', 'shared', 'havent', 'feeling', 'faithful', 'lately', 'ive', 'dwelled', 'doubt', 'uncertainty', 'faith']"
1,"['wa', 'feeling', 'brave', 'bought', 'clearly', 'wa', 'makeup']"
0,"['feeling', 'miserable', 'c', 'also', 'proudest', 'mum', 'earth']"
0,"['figure', 'family', 'love', 'u', 'matter', 'around', 'anyone', 'else', 'feel', 'embarrassed', 'michelle', 'go', 'ballistic']"
1,"['necessarily', 'think', 'f', 'bomb', 'sex', 'necessary', 'story', 'feel', 'reassured', 'see', 'print', 'journal']"
0,"['feel', 'ovary', 'aching', 'talking', 'like', 'put']"
0,"['feel', 'like', 'much', 'chris', 'mostly', 'took', 'many', 'picture', 'unimportant', 'stuff']"
0,"['im', 'tired', 'book', 'ready', 'finding', 'wa', 'given', 'unsuitable', 'image', 'feeling', 'blamed', 'result', 'sit', 'well']"
1,"['successfully', 'manage', 'stretch', 'mxm', 'canvas', 'feel', 'achievement', 'wa', 'worthwhile', 'usage', 'money', 'time', 'use', 'canvas', 'future', 'brief']"
1,"['think', 'feeling', 'one', 'nay', 'important', 'thing']"
1,"['feel', 'completely', 'honored', 'influence', 'young', 'talented', 'fully', 'alive', 'beautiful', 'girl', 'woman']"
3,"['feel', 'angered', 'firey']"
0,"['feel', 'like', 'miserable', 'piece', 'garbage']"
3,"['feel', 'like', 'need', 'make', 'list', 'leanne', 'would', 'appalled', 'thought', 'dont', 'miss', 'anything']"
3,"['drove', 'dannika', 'school', 'wa', 'feeling', 'little', 'bit', 'rushed', 'greeted', 'turned', 'corner']"
3,"['remember', 'feeling', 'hellip', 'furious', 'shooter']"
1,"['feel', 'happy', 'excited', 'since', 'learned', 'many', 'thing']"
1,"['feel', 'show', 'around', 'show', 'horse', 'people', 'trusting', 'relaxed', 'show', 'horse', 'safe', 'quiet', 'handled', 'frequently']"
1,"['couple', 'thing', 'left', 'make', 'start', 'december', 'done', 'feeling', 'smug']"
1,"['think', 'u', 'could', 'make', 'feel', 'realize', 'everything', 'ok']"
0,"['feel', 'worthless', 'time', 'wa', 'struggling', 'finding', 'work']"
4,"['able', 'lay', 'bed', 'dark', 'feel', 'terrified', 'least']"
2,"['wa', 'ready', 'meet', 'mom', 'airport', 'feel', 'ever', 'supportive', 'arm', 'around']"
3,"['im', 'feeling', 'bitter', 'today', 'mood', 'ha', 'strange', 'entire', 'day', 'guess']"
0,"['mum', 'brother', 'passed', 'away', 'involved', 'car', 'accident', 'wa', 'bringing', 'present', 'passed', 'form', 'five', 'exam', 'flying', 'colour']"
3,"['letting', 'go', 'animosity', 'towards', 'anyone', 'feel', 'ha', 'wronged']"
2,"['talk', 'dog', 'feel', 'understand', 'word', 'read', 'emotion', 'know', 'supportive', 'decided', 'go', 'home']"
0,"['feel', 'like', 'throwing', 'away', 'shitty', 'piece', 'shit', 'paper']"
1,"['im', 'starting', 'feel', 'wryly', 'amused', 'banal', 'comedy', 'error', 'life', 'turning']"
1,"['find', 'every', 'body', 'beautiful', 'want', 'people', 'feel', 'vital', 'body']"
0,"['hear', 'owner', 'feel', 'victimized', 'association', 'association', 'attorney', 'property', 'manager']"
3,"['say', 'goodbye', 'fam', 'theyre', 'sad', 'cry', 'feel', 'like', 'heartless', 'bitch', 'hey', 'im', 'pretty', 'excited', 'flying', 'first', 'time', 'know', 'also', 'spend', 'year', 'another', 'country']"
2,"['wont', 'let', 'child', 'cry', 'feel', 'loving', 'lily', 'wa', 'little', 'wa', 'going', 'opportunity', 'lasted', 'short', 'month']"
1,"['alba', 'feel', 'good', 'im', 'fitting']"
1,"['feel', 'excited', 'im', 'feel', 'like', 'ton', 'catching']"
1,"['also', 'know', 'good', 'feel', 'look', 'back', 'see', 'honored', 'word', 'help', 'start']"
0,"['mean', 'really', 'really', 'hard', 'work', 'obtain', 'high', 'technical', 'skill', 'wushu', 'feel', 'kinda', 'ashamed', 'somehow', 'motivated', 'saw', 'kid', 'wushu', 'performance', 'whole', 'heartedly', 'despite', 'tiredness']"
1,"['feel', 'like', 'thing', 'getting', 'little', 'overwhelming', 'spritz', 'toner', 'really', 'help', 'calm', 'soothe']"
1,"['hope', 'realize', 'little', 'effort', 'required', 'make', 'person', 'feel', 'better', 'situation', 'whether', 'family', 'member', 'college', 'high', 'school', 'friend', 'neighbor', 'street', 'even', 'complete', 'stranger']"
1,"['feeling', 'festive', 'today', 'even', 'going', 'put', 'tree', 'soon', 'finished', 'catching', 'week', 'going', 'ons', 'coronation', 'street']"
1,"['finding', 'ill', 'seriously']"
0,"['alright', 'class', 'combination', 'feeling', 'unsuccessful', 'man', 'handled', 'stress', 'late', 'horrible', 'week', 'resulted', 'almost', 'cry', 'finished', 'grappling']"
1,"['feel', 'rarely', 'advance', 'worthwhile', 'cause', 'always', 'stick', 'rule', 'posting', 'anything', 'online', 'wouldnt', 'prepared', 'say', 'somebody', 'face']"
1,"['feeling', 'useful']"
2,"['feel', 'like', 'pain', 'imagine', 'becoming', 'passionate', 'group', 'idea', 'causing', 'pain']"
0,"['feel', 'ugly', 'inclined', 'wear', 'ratty', 'jean', 'sweatshirt', 'beautiful', 'dress', 'though', 'might', 'still', 'wear', 'pair', 'heel', 'around', 'house', 'boost', 'self', 'esteem', 'ever', 'slightly', 'definitely', 'bother', 'buy', 'new', 'pair']"
0,"['im', 'feeling', 'homesick', 'yet', 'im', 'feeling', 'alright']"
1,"['dance', 'feel', 'pretty']"
1,"['workout', 'every', 'morning', 'feel', 'fabulous']"
0,"['feel', 'eye', 'touch', 'word', 'eye', 'know', 'assuredly', 'return', 'love', 'know', 'shall', 'vain']"
1,"['wa', 'feeling', 'fabulous', 'friday', 'morning', 'started', 'get', 'awful', 'cramp', 'work']"
1,"['feel', 'honoured', 'able', 'call', 'friend', 'share', 'brotherhood']"
4,"['begun', 'feel', 'apprehensive', 'thick', 'black', 'rain', 'cloud', 'stormed', 'sky', 'town']"
4,"['stated', 'reason', 'feel', 'fearful', 'feel', 'unsafe']"
4,"['feel', 'like', 'getting', 'shaken', 'tsa', 'quite', 'yet', 'pulled', 'side', 'creative', 'croissant', 'lunch']"
0,"['get', 'group', 'feel', 'really', 'awkward', 'overcompensate', 'talkative', 'getting', 'really', 'quiet']"
2,"['excited', 'finally', 'meet', 'companion', 'companion', 'time', 'especially', 'lonely', 'lonely', 'companion', 'never', 'disappoint', 'companion', 'put', 'arm', 'around', 'make', 'feel', 'loved']"
1,"['feel', 'pretty', 'safe', 'blog', 'img', 'src', 'http']"
1,"['feel', 'pretty', 'eager', 'get', 'done', 'fun', 'plan', 'quilting']"
2,"['feeling', 'horny', 'ask', 'let', 'go', 'home']"
4,"['think', 'poem', 'put', 'pressure', 'feel', 'uncomfortable', 'sense', 'feeling', 'feel', 'understanding', 'understand', 'loving', 'able', 'love']"
5,"['feel', 'stranger', 'strange', 'land', 'raising', 'son', 'place', 'father', 'ancestral', 'home']"
1,"['left', 'shower', 'questioning', 'feel', 'wa', 'gorgeous', 'fantastic', 'body', 'confident', 'movement', 'effortlessly', 'graceful']"
1,"['feel', 'energetic', 'bouncy', 'happy', 'go', 'gym', 'run', 'around', 'outside', 'kid', 'take', 'pram', 'long', 'walk', 'often', 'three', 'one', 'day']"
1,"['wa', 'still', 'feeling', 'strong']"
1,"['burst', 'tear', 'devastating', 'release', 'feeling', 'thought', 'seemed', 'know', 'rich', 'also', 'go', 'space', 'without', 'dumping']"
3,"['wanted', 'get', 'pumpkin', 'spice', 'latte', 'morning', 'wa', 'hot', 'last', 'thing', 'wanted', 'wa', 'hot', 'coffee', 'maybe', 'feeling', 'little', 'bitter']"
4,"['suppose', 'feel', 'badly', 'wa', 'bit', 'skeptical', 'pain', 'last', 'month', 'shes', 'hyperchondria', 'exaggeration', 'habit', 'past', 'though', 'never', 'openly', 'questioned']"
1,"['clench', 'corner', 'bed', 'feel', 'assured']"
3,"['also', 'feel', 'like', 'selfish', 'grateful', 'life', 'amazing', 'thing']"
2,"['called', 'god', 'seen', 'god', 'book', 'figured', 'god', 'wa', 'right', 'name', 'feeling', 'utterly', 'affirmed', 'accepted', 'without', 'question']"
3,"['know', 'perhaps', 'girl', 'office', 'nice', 'short', 'hair', 'perhaps', 'wa', 'feeling', 'rebellious']"
0,"['feel', 'miserable', 'family', 'type', 'celebrates', 'eid']"
1,"['might', 'go', 'get', 'car', 'wash', 'feeling', 'really', 'generous', 'car', 'need']"
0,"['still', 'feel', 'sleep', 'deprived', 'almost', 'sleeping', 'night', 'giving', 'u']"
3,"['feel', 'really', 'violent', 'right']"
1,"['bloging', 'sitting', 'feeling', 'content', 'dog', 'amp', 'cat', 'etc', 'know', 'lucky', 'truth']"
5,"['started', 'feeling', 'funny', 'friday', 'woke', 'sick', 'dog']"
0,"['feel', 'need', 'protect', 'parent', 'witch', 'hunt', 'repressed', 'memory', 'therapy']"
3,"['feel', 'disgusted', 'even', 'associated', 'woman', 'race', 'nationality']"
3,"['laughed', 'bitterly', 'wasnt', 'feeling', 'bitter']"
0,"['know', 'wa', 'feeling', 'thought', 'wished', 'could', 'u', 'u', 'knew', 'however', 'much', 'hated', 'first', 'wa', 'experience', 'would', 'remember', 'forever']"
1,"['wa', 'feeling', 'quite', 'mellow', 'wanted', 'soft', 'easy', 'look', 'wear', 'beginning', 'cold']"
4,"['told', 'maybe', 'need', 'time', 'think', 'ive', 'feeling', 'indecisive', 'thing', 'lately']"
1,"['still', 'feel', 'doe', 'genre', 'disservice', 'story', 'resolved', 'artifically']"
1,"['always', 'know', 'feeling', 'artistic', 'write', 'name', 'artistic', 'mood', 'manitz', 'draw', 'circle', 'dot', 'bigger', 'dot', 'artistic', 'feeling', 'line', 'like', 'accent', 'mark', 'spanish', 'im', 'pissed']"
4,"['remember', 'feeling', 'really', 'terrified', 'wa', 'brazil', 'bus', 'wa', 'going', 'steep', 'mountain', 'hill', 'side', 'mountain', 'middle', 'big', 'storm', 'wondering', 'going', 'fall']"
0,"['could', 'feel', 'whimper', 'thought', 'unloved', 'uncared']"
5,"['im', 'certainly', 'going', 'sit', 'tell', 'whats', 'going', 'personal', 'life', 'feel', 'ever', 'curious', 'whats', 'going', 'life', 'youd', 'watch', 'show']"
5,"['im', 'sorry', 'wasnt', 'humor', 'post', 'im', 'feeling', 'funny']"
1,"['feel', 'ive', 'got', 'foot', 'door', 'fantastic', 'world', 'walking', 'running', 'trail', 'fell', 'mountain']"
3,"['say', 'whatever', 'come', 'mind', 'tell', 'directly', 'feel', 'jealous', 'girl', 'insecure', 'love', 'person', 'trust', 'worthy', 'friend', 'sweet', 'one', 'love']"
4,"['feel', 'strange', 'coming', 'back', 'work', 'one', 'day', 'holiday']"
3,"['im', 'clearly', 'influenced', 'dash', 'happiness', 'emily', 'dickinson', 'example', 'use', 'dash', 'instead', 'colon', 'semi', 'colon', 'enhance', 'feeling', 'rushed', 'enjambment', 'sonnet']"
0,"['fatter', 'thing', 'life', 'remain', 'control', 'whether', 'get', 'eat', 'peanut', 'butter', 'bread', 'get', 'home', 'impossible', 'day', 'first', 'world', 'looking', 'yet', 'third', 'world', 'feeling', 'hell', 'needy', 'neglected', 'little', 'girl']"
3,"['could', 'claim', 'redeem', 'genre', 'leave', 'feeling', 'entirely', 'frustrated', 'point', 'beating', 'head', 'wall', 'either']"
0,"['feel', 'sad', 'hopeless']"
4,"['im', 'getting', 'feeling', 'class', 'little', 'intimidated', 'concept', 'lit']"
0,"['still', 'feel', 'groggy', 'get', 'routine', 'son']"
1,"['feeling', 'view', 'isnt', 'going', 'popular', 'thats', 'fine']"
5,"['want', 'hold', 'feeling', 'shocked', 'awe', 'wonder', 'forever']"
4,"['heard', 'rumour', 'st', 'year', 'exam', 'result', 'fear', 'might', 'one', 'failure']"
1,"['want', 'feel', 'valued', 'appreciated', 'know', 'people', 'love', 'arent', 'going', 'anywhere', 'even', 'nature', 'relationship', 'change']"
3,"['know', 'day', 'feel', 'distracted']"
1,"['use', 'regularly', 'relaxing', 'music', 'always', 'feel', 'invigorated', 'afterward']"
3,"['im', 'feeling', 'distracted', 'tend', 'practice', 'eye', 'shut', 'much', 'possible']"
1,"['feel', 'like', 'perfect', 'w', 'see', 'youtube', 'ha', 'influence', 'even', 'know', 'trend']"
4,"['specifically', 'wanted', 'tango', 'wa', 'feeling', 'shy', 'mak', 'quite', 'opposite', 'hard', 'get', 'far', 'enough', 'away', 'get', 'good', 'pic', 'lol']"
4,"['also', 'feel', 'weird', 'sleeping', 'bed', 'two', 'slept']"
0,"['wish', 'okay', 'wa', 'thinking', 'earlier', 'today', 'thing', 'cooped', 'amp', 'restless', 'ha', 'made', 'feel', 'needy']"
1,"['ive', 'lost', 'weight', 'could', 'fit', 'tiny', 'skirt', 'ive', 'unable', 'wear', 'didnt', 'feel', 'confident']"
1,"['hope', 'feel', 'bit', 'creative', 'soon', 'miss', 'presence', 'life', 'blog']"
0,"['fan', 'current', 'president', 'conservative', 'made', 'feel', 'unwelcome']"
5,"['enclose', 'verse', 'could', 'weigh', 'much', 'thinking', 'feeling', 'curious', 'hear', 'odd', 'couple']"
1,"['begin', 'feel', 'complacent', 'life']"
4,"['feel', 'vulnerable', 'alone']"
1,"['remember', 'feeling', 'inspired', 'thinking', 'wa', 'fine', 'example', 'parenting']"
0,"['feel', 'like', 'always', 'one', 'getting', 'punished', 'stupid', 'thing', 'feel', 'like', 'chastised', 'behaving']"
1,"['really', 'feel', 'life', 'perfect', 'right', 'isnt', 'much', 'ask', 'hope', 'everything', 'would', 'stay']"
1,"['im', 'simply', 'feel', 'contented']"
1,"['im', 'saying', 'cut', 'everyone', 'life', 'feel', 'important', 'find', 'comfort', 'solitude', 'meditation', 'working', 'project', 'alone']"
4,"['think', 'im', 'stupid', 'feeling', 'nervous']"
1,"['feel', 'honored']"
5,"['wa', 'feeling', 'act', 'god', 'work', 'life', 'wa', 'amazing', 'feeling']"
1,"['feel', 'im', 'like', 'bird', 'flying', 'air', 'carefree', 'manner']"
3,"['revise', 'reply', 'mind', 'make', 'sure', 'reply', 'sound', 'appropriate', 'enough', 'person', 'receive', 'reply', 'feel', 'offended']"
0,"['felt', 'sad', 'friend', 'mine', 'died', 'felt', 'something', 'irrevocably', 'gone', 'away']"
0,"['died', 'would', 'alex', 'matt', 'feel', 'regretful', 'coming', 'visit']"
1,"['feel', 'educating', 'family', 'supporting', 'educationg', 'mama', 'papa', 'key']"
3,"['im', 'sure', 'lost', 'feel', 'like', 'everyone', 'hostile', 'toward', 'hate', 'feeling']"
0,"['feel', 'like', 'boring', 'sewing', 'make', 'since', 'easy', 'nothing', 'else', 'say', 'fabric', 'usage']"
1,"['always', 'liked', 'use', 'original', 'fragrance', 'freshen', 'lightly', 'scent', 'underwear', 'drawer', 'feel', 'gorgeously', 'glamorous', 'girly']"
1,"['feel', 'like', 'talented', 'young', 'man', 'feel', 'talented', 'work']"
5,"['feel', 'curious', 'thing', 'around']"
1,"['feel', 'reason', 'apart', 'others', 'life', 'im', 'help', 'become', 'something', 'push', 'succeed', 'successful', 'happy']"
4,"['feel', 'uncomfortable', 'guess']"
1,"['feel', 'pretty', 'mellow', 'far', 'whatever', 'healing', 'wounding', 'process', 'may', 'getting', 'underway']"
4,"['wonder', 'sometimes', 'whether', 'added', 'antagonism', 'misunderstanding', 'many', 'people', 'towards', 'u', 'feel', 'reluctant', 'wholeheartedly', 'support', 'traditional', 'armistice', 'day', 'remembrance']"
0,"['leg', 'would', 'feel', 'shitty', 'mile', 'would', 'come', 'around', 'like', 'always']"
4,"['know', 'unfair', 'reaction', 'run', 'way', 'explain', 'feel', 'shaken', 'best', 'come', 'right']"
2,"['seriously', 'feel', 'blessed', 'support', 'home', 'amazing']"
0,"['feel', 'abused', 'maligned', 'mostly', 'tired', 'nervous', 'feeling', 'anticipating', 'danger']"
4,"['feeling', 'pretty', 'restless', 'right', 'typing']"
2,"['know', 'gosman', 'touristy', 'place', 'go', 'montauk', 'area', 'infrequent', 'visitor', 'area', 'want', 'head', 'harbor', 'feel', 'gentle', 'cawing', 'seagull', 'lapping', 'water', 'wood', 'piling', 'relaxing', 'breeze', 'coming', 'water']"
0,"['admit', 'hilarious', 'e', 'card', 'seriously', 'exactly', 'feel', 'stressed', 'feel', 'moment', 'could', 'start', 'hy']"
0,"['wrote', 'last', 'year', 'wa', 'feeling', 'dull', 'inarticulate', 'normal']"
3,"['id', 'kick', 'gear', 'feel', 'irritable', 'motivation', 'ever']"
1,"['feel', 'child', 'innocent', 'feeling', 'illustrating']"
2,"['satisfaction', 'feeling', 'longer', 'supporting', 'contributing', 'looter', 'driven', 'consumerism', 'ha', 'made', 'walking', 'corpse', 'america', 'revered', 'wa', 'younger']"
3,"['start', 'feel', 'resentful']"
0,"['spend', 'vacation', 'obligation', 'headache', 'feeling', 'like', 'emotional', 'blackmailed', 'three', 'place']"
5,"['feel', 'herpes', 'coming', 'would', 'surprised', 'point', 'make', 'checkup', 'clinic', 'wednesday']"
3,"['feel', 'fucked', 'like', 'everyday', 'life']"
1,"['ive', 'worked', 'really', 'hard', 'year', 'try', 'make', 'child', 'class', 'feel', 'like', 'valued']"
0,"['feeling', 'disheartened', 'word', 'late']"
3,"['feel', 'like', 'wa', 'bitchy', 'time', 'upon', 'retrospect', 'think', 'wa', 'trying', 'shake']"
1,"['still', 'second', 'guess', 'still', 'terrible', 'time', 'making', 'definitive', 'decision', 'certain', 'truth', 'know', 'feel', 'assured', 'truth']"
1,"['feel', 'like', 'egg', 'benedict', 'something', 'equally', 'delicious']"
1,"['im', 'feeling', 'way', 'trusting']"
1,"['im', 'feeling', 'inspired', 'summery', 'element', 'favorite', 'past', 'time', 'beach', 'bummin']"
1,"['feel', 'smiled', 'love', 'even', 'gorgeous']"
0,"['continue', 'define', 'discover', 'home', 'mean', 'amsterdam', 'whenever', 'feel', 'pang', 'blank', 'sickness', 'line', 'missing', 'cultural', 'mindset', 'american', 'city', 'life', 'much', 'different', 'cultural', 'mindset', 'amsterdam']"
1,"['make', 'arcade', 'simple', 'purpose', 'try', 'make', 'feel', 'absolutely', 'comfortable', 'physically', 'emotionally', 'practically', 'absolutely']"
2,"['say', 'feel', 'sympathetic']"
1,"['wa', 'feeling', 'eager', 'hopped', 'tube', 'ride', 'eye', 'london']"
0,"['go', 'online', 'see', 'friend', 'talking', 'another', 'one', 'talking', 'feel', 'ignored', 'feel', 'unloved']"
3,"['monitoring', 'say', 'anything', 'ever', 'come', 'across', 'blog', 'feel', 'offended', 'please', 'dont', 'stop']"
5,"['feel', 'like', 'weird', 'cancer', 'one', 'time']"
1,"['want', 'feel', 'safe', 'well', 'maybe', 'maybe', 'small', 'chance', 'feel', 'joy', 'dream', 'come', 'true']"
3,"['im', 'feeling', 'cranky']"
1,"['also', 'think', 'puzzling', 'particular', 'administrator', 'ha', 'singled', 'praise', 'ability', 'get', 'student', 'read', 'feel', 'ssr', 'time', 'productive', 'use', 'class', 'time']"
2,"['tried', 'fill', 'befriending', 'people', 'knew', 'using', 'didnt', 'care', 'needed', 'feel', 'accepted', 'even', 'wa', 'complete', 'loser']"
0,"['feel', 'stressed', 'always']"
0,"['remember', 'feeling', 'another', 'cramp', 'also', 'ignored']"
1,"['hope', 'feel', 'mellow', 'well', 'fed', 'well', 'slept', 'peace', 'within', 'external', 'world']"
0,"['also', 'learned', 'take', 'lot', 'effort', 'positive', 'thinking', 'break', 'tear', 'feeling', 'exhausted', 'guilty', 'better', 'mom']"
0,"['im', 'feeling', 'awful', 'hung', 'friend', 'new', 'baby', 'day']"
1,"['feel', 'relaxed', 'fine']"
0,"['feel', 'suffering', 'really', 'feel', 'pain']"
1,"['go', 'sleep', 'feel', 'giving', 'precious', 'time', 'something', 'else', 'life']"
1,"['feel', 'like', 'neglecting', 'beloved', 'mom', 'blog']"
1,"['shalt', 'say', 'co', 'din', 'feel', 'thing', 'wrote', 'hw', 'keen', 'xxx']"
4,"['feel', 'terrified', 'like', 'im', 'edge', 'precipice', 'staring', 'ahead']"
0,"['feel', 'totally', 'listless', 'exam', 'come', 'gone', 'whole', 'five', 'month', 'front', 'uni', 'free', 'time']"
3,"['feel', 'furious', 'right', 'life', 'advocate', 'tell', 'live', 'die', 'lobbying', 'supporting', 'politician', 'sympathic', 'view']"
0,"['feel', 'wa', 'abused', 'way']"
3,"['im', 'still', 'paying', 'attention', 'feel', 'distracted']"
